"type","sum_mean1","sum_mean2"
"CAR",61847.9392286936,13732.9660695394
"CE",170058.242045403,6075.38251495361
"Cer",23682.3187774022,3481.64888191223
"DAG",1007823.72716395,329629.866850853
"FA",27834982.617362,19497330.6193082
"PC",229152.396611532,786135.338896433
"PE",19329.419418335,124243.311693509
"PG",6533.52890618642,4428.97330093384
"PI",6686.54541333516,5657.92525577545
"PS",145345.717829704,102214.374116898
"SM",51997.9888569514,7006.92559623718
"TAG",107972.080340703,102614.165995598
